Date,Close,High,Low,Open,Volume
2015-01-02,170.12501525878906,171.325829928709,169.08983891329257,170.91175939051038,121465900
2015-01-05,167.05258178710938,169.24715009688967,166.7461737006491,169.0815244457335,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.54122924804688,167.8807701425897,166.35699350286723,166.80418415106138,125346700
2015-01-08,170.5142059326172,170.72953065352303,168.93246642029644,168.94902014003745,147217800
2015-01-09,169.14781188964844,170.94487647756347,168.53498295474012,170.92831011812547,158567300
2015-01-12,167.82273864746094,169.43762341842782,167.21819936354106,169.2802746346781,144396100
2015-01-13,167.3507080078125,170.16638190252374,166.05052078045333,169.04010981735388,214553300
2015-01-14,166.34039306640625,166.53915144512624,164.44395583561231,165.33833694878177,192991100
2015-01-15,164.8166046142578,167.29273780529536,164.70066539430715,166.97805285767345,176613900
2015-01-16,166.97808837890625,167.13543720440362,164.42741236095966,164.60960440770086,211879600
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
2015-01-21,168.17886352539062,168.65918678671582,166.4066424201559,166.87039932448977,122942700
2015-01-22,170.67982482910156,170.81231775411237,167.55773045853948,168.93244722648654,174356000
2015-01-23,169.7440643310547,170.6798677187709,169.6115587363211,170.42313339031367,117516800
2015-01-26,170.14154052734375,170.2326365292039,168.81652270697356,169.5287243661273,92009700
2015-01-27,167.89724731445312,169.04007286894813,167.06910662803043,168.08771613413163,134044600
2015-01-28,165.744140625,169.18092074926022,165.55367173160218,169.08154787208377,168514300
2015-01-29,167.27618408203125,167.53290573788595,164.53502710249373,165.94287673441366,173585400
2015-01-30,165.17274475097656,167.42528962048652,164.90774616208577,166.10027140317112,197729700
2015-02-02,167.21820068359375,167.30929668351396,163.8559508188736,165.669581321377,163107000
2015-02-03,169.63641357421875,169.6447030722255,167.73997608586896,168.11263703970548,124212900
2015-02-04,168.99041748046875,170.08356945276037,168.5349374920139,168.8744782685372,134306700
2015-02-05,170.6964569091797,170.84552889333736,169.57847389193944,169.65300356580246,97953200
2015-02-06,170.22438049316406,171.62394076730268,169.70264763355704,171.06079833152506,125672000
2015-02-09,169.4624786376953,170.2988964085735,169.05668504224863,169.57841785976186,87219000
2015-02-10,171.26783752441406,171.5245592115905,169.5038931575931,170.4976724628847,96164200
2015-02-11,171.3672332763672,171.7978701903845,170.45628564015155,171.10223469296227,91087800
2015-02-12,173.01516723632812,173.07314315540543,171.40029527066008,172.16218325865665,97545900
2015-02-13,173.72740173339844,173.77708816692638,172.88269445414045,173.13942875474757,93670400
2015-02-17,174.00071716308594,174.1746323442568,173.1642992486139,173.41273145538702,76968200
2015-02-18,174.01724243164062,174.09177207607388,173.363004077811,173.6280152176981,80652900
2015-02-19,173.89303588867188,174.25741993425422,173.2802196633091,173.4210021106608,91462500
2015-02-20,174.93650817871094,175.01103783545233,172.8578661957788,173.47897194148132,140896400
2015-02-23,174.9116973876953,174.9116973876953,174.30714525156807,174.68809573958757,74411100
2015-02-24,175.4085693359375,175.60732775468037,174.53901862902975,174.83714993892866,72472300
2015-02-25,175.25950622558594,175.76467280547013,174.9199653395393,175.28434944784004,73061700
2015-02-26,175.05242919921875,175.3257172152652,174.4478772380732,175.16836842089657,72697900
2015-02-27,174.45614624023438,175.21803426981833,174.40645981341328,174.95302314487125,108076000
2015-03-02,175.5576171875,175.6155804872333,174.50587456702831,174.55556100577942,87491400
2015-03-03,174.83714294433594,175.60732072927564,173.97588177043423,175.1269973805194,110325800
2015-03-04,174.10009765625,174.31542242677207,173.1311740981912,174.24088012505203,114497200
2015-03-05,174.29058837890625,174.57215333133064,173.78542178241264,174.42308135647423,76873000
2015-03-06,171.8392791748047,173.85994549150837,171.5080277875941,173.42930857899026,188128000
2015-03-09,172.5514678955078,172.90756247783182,171.88067567378718,172.0380244934855,89818900
2015-03-10,169.7523193359375,171.26781870995183,169.71090976336123,171.18501220122667,157121300
2015-03-11,169.35482788085938,170.18296884849192,169.27200872952477,170.00905368526062,110145700
2015-03-12,171.5080108642578,171.57425102601943,169.93453533919217,169.98422177872797,93993500
2015-03-13,170.45623779296875,172.19532604836107,169.42106169936847,171.23469223718448,162410900
2015-03-16,172.73361206054688,172.8247080553119,170.48106804128992,171.18499278596744,136099200
2015-03-17,172.22018432617188,172.60112205758392,171.4085971591291,171.99658274860482,94510400
2015-03-18,174.29058837890625,174.96138067468297,171.11051682508818,171.74818903558065,228808500
2015-03-19,173.4955291748047,174.29882690791254,173.10630191705437,173.87647957216197,117917300
2015-03-20,175.0269317626953,175.53435314639842,174.26164278434246,174.44464805012606,177715100
2015-03-23,174.68589782714844,175.60923808051962,174.68589782714844,175.0352680996626,71784500
2015-03-24,173.70431518554688,175.01860728358153,173.6377666615093,174.56110680667695,77805300
2015-03-25,171.158935546875,174.14524279752095,171.11735381250836,173.91232923658438,159521700
2015-03-26,170.7512664794922,171.66628000286894,169.79464585475975,170.4933989166057,153067200
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000
2015-03-30,173.2301788330078,173.52964087435808,172.15711392232274,172.17374153535073,96180400
2015-03-31,171.7162628173828,173.10544304719463,171.65804077441965,172.40668968177818,126768700
2015-04-01,171.10903930664062,171.70796356041745,170.11915025684732,171.68300944091325,137303600
2015-04-02,171.7245635986328,172.17375033720432,170.85944534924582,171.04245064458402,86900900
2015-04-06,172.88082885742188,173.39656416417543,170.701418168536,170.83450255255133,114368200
2015-04-07,172.4232940673828,173.6544101425023,172.39002614874036,172.9057613911213,81236300
2015-04-08,173.00558471679688,173.44645764013111,172.25693593565734,172.64790063262691,89351900
2015-04-09,173.7709197998047,174.00383337971292,172.34848420056778,172.83926548017172,85548900
2015-04-10,174.71917724609375,174.76077166783332,173.82080373926343,174.02043665507665,72722900
2015-04-13,173.92892456054688,175.2099616006904,173.87901633430343,174.57775688738096,74436600
2015-04-14,174.26165771484375,174.444662996307,173.10540399623537,173.72928217590538,75099900
2015-04-15,175.04356384277344,175.55098523943107,174.64428538579418,174.72747421521345,99529300
2015-04-16,174.99368286132812,175.50110433696972,174.51121549982994,174.71086110581254,68934900
2015-04-17,172.9806365966797,174.04538777213105,172.1987071756499,173.8041604387327,191113200
2015-04-20,174.5611114501953,174.8938413864011,173.820776553229,173.90395269086372,92189500
2015-04-21,174.3531951904297,175.4013061722621,174.05373309664378,175.24325497098113,72559800
2015-04-22,175.2099609375,175.39296622825637,173.77087272447622,174.69421298498898,78264600
2015-04-23,175.6508331298828,176.29966545157106,174.6942122607432,174.81066901866583,102585900
2015-04-24,176.0584259033203,176.32462003232672,175.60923917666534,176.06675240287345,61327400
2015-04-27,175.3264617919922,176.7488973636394,175.13512995354867,176.62412676712225,79358100
2015-04-28,175.88380432128906,175.93371256350252,174.1286258773628,175.30152034073413,86863500
2015-04-29,175.1600341796875,175.75894552181222,174.35315076294765,174.9936565199954,125684900
2015-04-30,173.4048614501953,174.9770339137259,172.7061082608666,174.58606924936552,161304900
2015-05-01,175.2847900390625,175.32638445049903,174.08694206955124,174.18675850273308,103399700
2015-05-04,175.78392028808594,176.36620404488573,175.60091500840113,175.7090452606993,70927200
2015-05-05,173.7709197998047,175.90043533342572,173.6295088900631,175.5427384617421,113326200
2015-05-06,173.05543518066406,174.6276072505648,171.9906843974948,174.319831495489,135060200
2015-05-07,173.74591064453125,174.17015593221083,172.62293753129305,172.95566748495605,88244900
2015-05-08,176.03346252441406,176.23310811066005,175.33472201180402,175.41791084594837,155877300
2015-05-11,175.19334411621094,176.25809539088837,175.1184817670937,175.9919139186372,75708100
2015-05-12,174.66929626464844,175.20999844593865,173.5379963581667,174.361520342868,119727600
2015-05-13,174.70252990722656,175.70073245209886,174.46961640318415,175.07685427494943,94667900
2015-05-14,176.52427673339844,176.61577938439606,175.4428852287453,175.71739318173817,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.26455688476562,177.51409795312964,176.4826276896743,176.54917620551524,74549700
2015-05-19,177.20635986328125,177.65555926753893,176.9235381304282,177.3810513411224,72114600
2015-05-20,177.08160400390625,177.830252816043,176.7655016333957,177.30619103184608,76857500
2015-05-21,177.5973663330078,177.80532577836263,176.77384235998136,176.940220070535,64764600
2015-05-22,177.17308044433594,177.63058093249938,177.10653191866064,177.21466216665377,57433500
2015-05-26,175.26817321777344,177.1065398297752,174.8522544333493,176.68229454624878,124308600
2015-05-27,176.9318389892578,177.1647524807789,175.31807216026635,175.72567711684493,93214000
2015-05-28,176.73226928710938,176.8403995728642,176.04184237155204,176.6241263085167,74974600
2015-05-29,175.6342315673828,176.7072967383214,175.3680500731995,176.66571500283214,124919600
2015-06-01,175.99192810058594,176.63243406287347,175.20167204232382,176.29970402253807,93338800
2015-06-02,175.81716918945312,176.5075958167085,174.9104693881596,175.53434749428806,91531000
2015-06-03,176.28306579589844,176.9069441485281,175.79228453811078,176.34961434331944,87820900
2015-06-04,174.7940216064453,176.23309695766497,174.47791928810233,175.57595090371493,151882800
2015-06-05,174.4945526123047,175.16833894364447,173.8373938918091,174.644277266899,121704700
2015-06-08,173.4215087890625,174.53618088064647,173.34664644724396,174.38644350417422,89063300
2015-06-09,173.39657592773438,173.93727807931117,172.76438380905586,173.39657592773438,105034700
2015-06-10,175.47616577148438,175.85881671031495,174.10363860063796,174.16186064118648,134551300
2015-06-11,176.04183959960938,176.42447788380207,175.6841427414247,175.91705631254314,73876400
2015-06-12,174.69419860839844,175.9170008174416,174.4196906948547,175.21826032451227,135382400
2015-06-15,173.9455108642578,174.2283325203897,172.84747945645518,173.55454628961573,124384200
2015-06-16,174.89389038085938,174.97707923463193,173.62117961372883,173.79585843667937,85308200
