Date,VIX,Yield_10Y,Yield_3M,DXY,Yield_Spread,VIX_Zscore
2015-01-02,17.790000915527344,2.122999906539917,0.014999999664723873,91.08000183105469,2.107999906875193,0.0
2015-01-05,19.920000076293945,2.0390000343322754,0.003000000026077032,91.37999725341797,2.0360000343061984,0.0
2015-01-06,21.1200008392334,1.9630000591278076,0.019999999552965164,91.5,1.9430000595748425,0.0
2015-01-07,19.309999465942383,1.9539999961853027,0.019999999552965164,91.88999938964844,1.9339999966323376,0.0
2015-01-08,17.010000228881836,2.0160000324249268,0.017999999225139618,92.37000274658203,1.9980000331997871,0.0
2015-01-09,17.549999237060547,1.9709999561309814,0.014999999664723873,91.94000244140625,1.9559999564662576,0.0
2015-01-12,19.600000381469727,1.9119999408721924,0.013000000268220901,91.9800033569336,1.8989999406039715,0.0
2015-01-13,20.559999465942383,1.8899999856948853,0.023000000044703484,92.30999755859375,1.8669999856501818,0.0
2015-01-14,21.479999542236328,1.8370000123977661,0.02500000037252903,92.16000366210938,1.812000012025237,0.0
2015-01-15,22.389999389648438,1.774999976158142,0.023000000044703484,92.3499984741211,1.7519999761134386,0.0
2015-01-16,20.950000762939453,1.815000057220459,0.017999999225139618,92.5199966430664,1.7970000579953194,0.0
2015-01-20,19.889999389648438,1.8070000410079956,0.00800000037997961,93.05000305175781,1.799000040628016,0.0
2015-01-21,18.850000381469727,1.8530000448226929,0.019999999552965164,92.9000015258789,1.8330000452697277,0.0
2015-01-22,16.399999618530273,1.8960000276565552,0.014999999664723873,94.23999786376953,1.8810000279918313,0.0
2015-01-23,16.65999984741211,1.8170000314712524,0.013000000268220901,95.0,1.8040000312030315,0.0
2015-01-26,15.520000457763672,1.8279999494552612,0.004999999888241291,94.80000305175781,1.82299994956702,0.0
2015-01-27,17.219999313354492,1.8250000476837158,0.017999999225139618,94.0199966430664,1.8070000484585762,0.0
2015-01-28,20.440000534057617,1.7239999771118164,0.014999999664723873,94.47000122070312,1.7089999774470925,0.0
2015-01-29,18.760000228881836,1.7510000467300415,0.009999999776482582,94.77999877929688,1.741000046953559,0.0
2015-01-30,20.969999313354492,1.6749999523162842,0.004999999888241291,94.80000305175781,1.6699999524280429,0.0
2015-02-02,19.43000030517578,1.6729999780654907,0.004999999888241291,94.5,1.6679999781772494,0.0
2015-02-03,17.329999923706055,1.7799999713897705,0.014999999664723873,93.5999984741211,1.7649999717250466,0.0
2015-02-04,18.329999923706055,1.7970000505447388,0.004999999888241291,93.98999786376953,1.7920000506564975,0.0
2015-02-05,16.850000381469727,1.815000057220459,0.00800000037997961,94.69999694824219,1.8070000568404794,0.0
2015-02-06,17.290000915527344,1.937999963760376,0.014999999664723873,94.69999694824219,1.922999964095652,0.0
2015-02-09,18.549999237060547,1.9479999542236328,0.003000000026077032,94.44999694824219,1.9449999541975558,0.0
2015-02-10,17.229999542236328,1.9910000562667847,0.004999999888241291,94.76000213623047,1.9860000563785434,0.0
2015-02-11,16.959999084472656,1.9880000352859497,0.004999999888241291,94.98999786376953,1.9830000353977084,0.0
2015-02-12,15.34000015258789,1.9859999418258667,0.00800000037997961,94.08999633789062,1.977999941445887,0.0
2015-02-13,14.6899995803833,2.0209999084472656,0.004999999888241291,94.19999694824219,2.0159999085590243,0.0
2015-02-17,15.800000190734863,2.1449999809265137,0.00800000037997961,94.05999755859375,2.136999980546534,0.0
2015-02-18,15.449999809265137,2.065999984741211,0.013000000268220901,94.19999694824219,2.05299998447299,0.0
2015-02-19,15.289999961853027,2.11299991607666,0.013000000268220901,94.4000015258789,2.0999999158084393,0.0
2015-02-20,14.300000190734863,2.132999897003174,0.009999999776482582,94.25,2.1229998972266912,0.0
2015-02-23,14.5600004196167,2.059000015258789,0.014999999664723873,94.56999969482422,2.044000015594065,0.0
2015-02-24,13.6899995803833,1.9880000352859497,0.017999999225139618,94.48999786376953,1.97000003606081,0.0
2015-02-25,13.84000015258789,1.968999981880188,0.014999999664723873,94.20999908447266,1.9539999822154641,0.0
2015-02-26,13.90999984741211,2.0160000324249268,0.013000000268220901,95.29000091552734,2.003000032156706,0.0
2015-02-27,13.34000015258789,2.002000093460083,0.00800000037997961,95.25,1.9940000930801034,0.0
2015-03-02,13.039999961853027,2.0840001106262207,0.004999999888241291,95.45999908447266,2.0790001107379794,0.0
2015-03-03,13.859999656677246,2.121999979019165,0.013000000268220901,95.37999725341797,2.108999978750944,0.0
2015-03-04,14.229999542236328,2.122999906539917,0.009999999776482582,95.97000122070312,2.1129999067634344,0.0
2015-03-05,14.039999961853027,2.111999988555908,0.003000000026077032,96.37999725341797,2.108999988529831,0.0
2015-03-06,15.199999809265137,2.240000009536743,0.004999999888241291,97.62000274658203,2.235000009648502,0.0
2015-03-09,15.0600004196167,2.194999933242798,0.004999999888241291,97.58999633789062,2.1899999333545566,0.0
2015-03-10,16.690000534057617,2.125999927520752,0.009999999776482582,98.62000274658203,2.1159999277442694,0.0
2015-03-11,16.8700008392334,2.1089999675750732,0.013000000268220901,99.80000305175781,2.0959999673068523,0.0
2015-03-12,15.420000076293945,2.0959999561309814,0.017999999225139618,99.1500015258789,2.077999956905842,0.0
2015-03-13,16.0,2.111999988555908,0.023000000044703484,100.33000183105469,2.0889999885112047,0.0
2015-03-16,15.609999656677246,2.0980000495910645,0.029999999329447746,99.5999984741211,2.0680000502616167,0.0
